id,text,ASSALTO,ROUBO,FURTO,ASSEDIO,SPUBLICA,HOMICIDIO,OUTRO,CRIME,KEYWORD,LOCAL
1,gatilh prac set amg so assalt,1,0,0,0,0,0,0,1,1,0
2,rodovi sp nao aguard prox porta embarqu quas assalt marc pq nao maldad inv fic prac alimentaca la nao control vai embarc nao so vao acess embarqu um 15 min ja ter fil,0,0,0,0,1,0,0,1,1,1
3,esper polic trein identific pesso real arm nao assim mei defês nao letal cas incid vist eua numer pesso problem ment situaca rua grand,0,0,0,0,1,0,0,1,1,1
4,assalt dua cas aqu rua agor to med,1,0,0,0,0,0,0,1,1,0
5,sim import apuraca mostr infiltr mand faz ato jog cost populaca ord 38 dia rua nenhum incid,0,0,0,0,1,0,0,1,1,0
6,vez mei aven brasil ped blablac pra rote internet nd diss desfaz operaca tranq cool lev escolt pra delegac bangu diz hav roub rote so tav net nao carreg sald quer cobr,0,0,0,0,1,0,0,1,1,1
7,arian nao solt dat 1 seman prim performanc ye and est saind rua comet crim,0,0,0,0,0,0,0,0,1,0
8,ant pandem fest bala la pert gal rock said seguranc tav escolt ate esquin pq pass so assalt espanc ja est amanhec pequen detalh prac republ um 20 polic faz nad,1,0,0,0,0,0,0,1,1,1
9,hom 49 ano agred manh dest tercaf 29 dur tent roub centr nitero rj crim ocorr volt 9h aven ernan amar peixot polic agiu rapid consegu conduz agres delegac,0,1,0,0,0,0,1,1,1,1
10,hom mort dentr cas esp bale bairr cassang dhpp investig crim,0,0,0,0,0,1,1,1,1,1
11,ladra bale seguranc deput dur assalt aven sant amar zon sul sao paul brasilurg bandjorn,1,0,0,0,0,0,1,1,1,1
12,but doi individu assalt minimerc oliv local aven farroupilh bairr vil nov fbme6v2gikpbf,1,0,0,0,0,0,0,1,1,1
13,copacab dev bairr sup segur di quant turist receb entretant long bairr violent assalt desord urban fim divers outr crim vergonh cidad abandon eduardopa claudiocastrorj,1,0,0,0,0,0,0,1,1,1
14,manh dess doming 24 hom pres roub apo denunci propr irm cidad estrut roub loj aven luiz esteva ant sair cas diss irm comet crim saib,0,1,0,0,0,0,0,1,1,1
15,aproxim naz aven hostil recent dua mot fech rua assalt escap roub motocicl frent,0,1,0,0,0,0,0,1,1,1
16,quas assalt prac gring cham pra tom caf car ris terr,1,0,0,0,0,0,0,1,1,1
17,md furt cachorr aqu bairr,0,0,1,0,0,0,0,1,1,0
18,vide mostr assalt prac cas fort recif g1,1,0,0,0,0,0,0,1,1,1
19,cas inusit voc quer gram cant centr princip aven pass fund furt report fot vide gauchazh,0,0,1,0,0,0,0,1,1,1
20,segund polic milit doi assalt registr cidad nest segundaf 3 loj roup aven brasil lei notic integr,1,0,0,0,0,0,0,1,1,1
21,brig transit acab mort walt gom azeved 38 ano manh dia 19 setembr incid acontec moviment aven filemon gom pert prai lest fortal walt mud pist aca,0,0,0,0,0,1,0,1,1,1
22,normalizaca dess ataqu plen rua ning faz nad absurd,0,0,0,0,0,0,0,0,1,0
23,ataqu violent escol ja deix 6 mort nest ano relembr cas abril hom 25 ano invad crech cant bom pastor bairr velh mat quatr crianc diarioreg ataqu escol mort,0,0,0,0,0,1,0,1,1,1
24,polic milit recup veicul roub aven brasil odi polic roub,0,1,0,0,0,0,0,1,1,1
25,clin medic aven prim mai furt lei,0,0,1,0,0,0,0,1,1,1
26,nao aguent ach vou assalt ness porc bairr,1,0,0,0,0,0,0,1,1,0
27,simfech aven assalt todapinch,1,0,0,0,0,0,0,1,1,0
28,uba polic milit recup veicul furt bairr sao doming,0,0,1,0,0,0,0,1,1,1
29,eptvofic quant furt aven pedr i nad mud nao hav boletim ocorrenc dad nao ha porqu polic,0,0,1,0,0,0,0,1,1,1
30,nao mecan nao tav send assalt nad gener so tav arrum viat fiz show direit arm mei aven ris imagin atir quer algu muit irrespons,1,0,0,0,0,0,0,1,1,0
31,nao pod cal direit mai brasil falt organizaca corag enfrent ataqu esquerd vam pra rua tod forc just fort,0,0,0,0,0,0,0,0,1,1
32,us incid brancoamarel desculp tod gay sao man quer sab incid olh redor vi burbur outr rua cheg niss moc convers amig outr lad,0,0,0,0,0,0,0,0,1,0
33,fasc voc porqu voc entr orga publ destru prac tre pod algum roub arm congress nacion fez mai destruica agor esta quer defend voc ir cade camb,0,0,0,0,0,0,0,0,1,0
34,tav mil am cidad ate celul furt 15 hra tard prac pqp quant humilhaca vei,0,0,1,0,0,0,0,1,1,0
35,velh outr lad aven pont onibu contrari mex comig real tud ped hoj assedi distanc,0,0,0,1,0,0,0,1,1,0
36,ja assalt merc bairr 1837 tard,1,0,0,0,0,0,0,1,1,0
37,quint pass uma 2h40min manh maluc grit tav send assalt prac valdelin ceci olh hor po car coloc situaca risc,1,0,0,0,0,0,0,1,1,1
38,melhor remedi pra band serv publ dev crim hedi quant confi morr fil ladra rua,0,0,0,0,1,0,0,1,1,0
39,tin ajud komb trabalh senh aqu rua furt madrug port cas balancogeralrj,0,0,1,0,0,0,0,1,1,0
40,farmac assalt aven centenari pert rodovi tard dest quint band cheg jaquet pret carreg revolv crom lev tod dinh caix bandid seg aceler cricium,1,0,0,0,0,0,0,1,1,1
41,tbm mor bairr dens arbor cbo qual vida med densific transit aument mendig assalt frequ apagoesag send constru predi ladoq tir vist sol tard maravilh densificaca,0,0,0,0,1,0,0,1,1,0
42,polic prend acus comet assalt marech deodor hom 22 ano acus comet vari assalt cidad marech deodor pres nest tercaf 28 prox prac faculdad macei br104,1,0,0,0,0,0,0,1,1,1
43,polic civil efetu prisa hom 42 ano mor bairr liberdad porta forag furt qualific roub major dpporta,0,0,1,0,0,0,0,1,1,1
44,mai esquem roub terren patrocin pt prefeit local serv are verd bairr dren agu chuv dest cas feit pass ench agu cas vi enxurr enf erundin tob,0,1,0,0,0,0,0,1,1,0
45,cerc 350 caminhon particip nest segund 15 carreat aven brasil contr roub carg lei mat complet,0,0,0,0,1,0,0,1,1,1
46,dor conceica rua luiz oliv 157 bairr conceica eva assedi especi criaca us palavr astut tod alimarias sab ilustriss animal pod hipno pres dar bot,0,0,0,1,0,0,0,1,1,1
47,report tv glob sofr tent assalt viv situaca acontec aven paul sao paul dur program encontr saopaul assalt tvglob encontr patriciapoet saib redetvuolcombrtvfamabl,1,0,0,0,0,0,0,1,1,1
