id,text,ASSALTO,ROUBO,FURTO,ASSEDIO,SPUBLICA,HOMICIDIO,OUTRO,CRIME,KEYWORD,LOCAL
1,gatilho praca sete amg so assaltos,1,0,0,0,0,0,0,1,1,0
2,rodoviaria sp nao aguardem proximo portao embarque quase assaltada marco pq nao maldade inves ficar praca alimentacao la nao controle vai embarcar nao so vao acesso embarque uns 15 min ja tera fila,0,0,0,0,1,0,0,1,1,1
3,espero policia treinada identificar pessoa realmente armada nao assim meios defesa nao letais casos incidentes visto eua numero pessoas problemas mentais situacao rua grande,0,0,0,0,1,0,0,1,1,1
4,assaltaram duas casas aqui rua agora to medinho,1,0,0,0,0,0,0,1,1,0
5,sim importante apuracao mostrar infiltrados mando fazer atos jogar costas populacao ordeira 38 dias rua nenhum incidente,0,0,0,0,1,0,0,1,1,0
6,vez meio avenida brasil pedi blablacar pra rotear internet nd disse desfaz operacao tranquei cool levou escoltada pra delegacia bangu dizendo havia roubado roteador so tava net nao carregou saldo queria cobrar,0,0,0,0,1,0,0,1,1,1
7,ariana nao soltar data 1 semana primeira performance yes and estarei saindo rua cometendo crimes,0,0,0,0,0,0,0,0,1,0
8,antes pandemia festa balaia la perto galeria rock saida seguranca tava escoltando ate esquina pq passava sozinho assaltado espancado ja estando amanhecendo pequeno detalhe praca republica uns 20 policias fazendo nada,1,0,0,0,0,0,0,1,1,1
9,homem 49 anos agredido manha desta tercafeira 29 durante tentativa roubo centro niteroi rj crime ocorreu volta 9h avenida ernani amaral peixoto policia agiu rapidamente conseguiu conduzir agressor delegacia,0,1,0,0,0,0,1,1,1,1
10,homem morto dentro casa esposa baleada bairro cassange dhpp investiga crime,0,0,0,0,0,1,1,1,1,1
11,ladrao baleado seguranca deputado durante assalto avenida santo amaro zona sul sao paulo brasilurgente bandjornalismo,1,0,0,0,0,0,1,1,1,1
12,butia dois individuos assaltaram minimercado oliveira localizado avenida farroupilha bairro vila nova fbme6v2gikpbf,1,0,0,0,0,0,0,1,1,1
13,copacabana deveria bairro super seguro diante quantidade turistas recebe entretanto longe bairros violentos assaltos desordem urbana fim diversos outros crimes vergonha cidade abandonada eduardopaes claudiocastrorj,1,0,0,0,0,0,0,1,1,1
14,manha desse domingo 24 homem preso roubo apos denunciado propria irma cidade estrutural roubou loja avenida luiz estevao antes sair casa disse irma cometeria crime saiba,0,1,0,0,0,0,0,1,1,1
15,aproximando nazare avenida hostil recentemente duas motos fecharam rua assaltar escapei roubaram motociclista frente,0,1,0,0,0,0,0,1,1,1
16,quase assaltada praca gringo chamou pra tomar cafe cara risada terror,1,0,0,0,0,0,0,1,1,1
17,mds furtaram cachorro aqui bairro,0,0,1,0,0,0,0,1,1,0
18,videos mostram assaltos praca casa forte recife g1,1,0,0,0,0,0,0,1,1,1
19,caso inusitado voces querem grama canteiro central principal avenida passo fundo furtada reportagem foto video gauchazh,0,0,1,0,0,0,0,1,1,1
20,segundo policia militar dois assaltos registrados cidade nesta segundafeira 3 loja roupas avenida brasil leia noticia integra,1,0,0,0,0,0,0,1,1,1
21,briga transito acabou morte walter gomes azevedo 38 anos manha dia 19 setembro incidente aconteceu movimentada avenida filemon gomes perto praia leste fortaleza walter mudar pista aca,0,0,0,0,0,1,0,1,1,1
22,normalizacao desses ataques plena rua ninguem faz nada absurdo,0,0,0,0,0,0,0,0,1,0
23,ataques violentos escolas ja deixaram 6 mortos neste ano relembre casos abril homem 25 anos invadiu creche cantinho bom pastor bairro velha matou quatro criancas diarioregional ataques escolas mortes,0,0,0,0,0,1,0,1,1,1
24,policiais militares recuperam veiculo roubado avenida brasil odia policia roubo,0,1,0,0,0,0,0,1,1,1
25,clinica medica avenida primeiro maio furtada leia,0,0,1,0,0,0,0,1,1,1
26,nao aguento achar vou assaltada nessa porcaria bairro,1,0,0,0,0,0,0,1,1,0
27,simfecharam avenida assaltaram todapincharam,1,0,0,0,0,0,0,1,1,0
28,uba policia militar recupera veiculo furtado bairro sao domingos,0,0,1,0,0,0,0,1,1,1
29,eptvoficial quanto furtos avenida pedro i nada muda nao haverem boletins ocorrencia dado nao ha porque policiamento,0,0,1,0,0,0,0,1,1,1
30,nao mecanica nao tava sendo assaltada nada genero so tavam arrumando viatura fizeram show direito arma meio avenida risada imagina atira querer alguem muita irresponsabilidade,1,0,0,0,0,0,0,1,1,0
31,nao podemos calar direita maior brasil falta organizacao coragem enfrentar ataques esquerda vamos pra rua toda forca justos fortes,0,0,0,0,0,0,0,0,1,1
32,usar incidente brancoamarelo desculpa todos gays sao mano queria saber incidente olhei redor vi burburinho outra rua chegando nisso moca conversando amiga outro lado,0,0,0,0,0,0,0,0,1,0
33,fascista voces porque voces entraram orgao publico destruiu praca tres poderes alguns roubaram armas congresso nacional fez maior destruicao agora estao querendo defender voces ir cadeia cambada,0,0,0,0,0,0,0,0,1,0
34,tava mil amores cidade ate celular furtado 15 hra tarde praca pqp quanta humilhacao vei,0,0,1,0,0,0,0,1,1,0
35,velho outro lado avenida ponto onibus contrario mexendo comigo realmente tudo pedi hoje assedio distancia,0,0,0,1,0,0,0,1,1,0
36,ja assaltaram mercadinho bairro 1837 tarde,1,0,0,0,0,0,0,1,1,0
37,quinta passada umas 2h40min manha maluco gritando tava sendo assaltado praca valdelino cecio olha hora po cara coloca situacao risco,1,0,0,0,0,0,0,1,1,1
38,melhor remedio pra bandidos servico publico deveria crime hediondo quantos confiaram morreram filas ladrao rua,0,0,0,0,1,0,0,1,1,0
39,tino ajude kombi trabalho senhor aqui rua furtada madrugada porta casa balancogeralrj,0,0,1,0,0,0,0,1,1,0
40,farmacia assaltada avenida centenario perto rodoviaria tarde desta quinta bandido chegou jaqueta preta carregando revolver cromado levou todo dinheiro caixa bandidagem segue acelerada criciuma,1,0,0,0,0,0,0,1,1,1
41,tbm moro bairro denso arborizado cboa qualidade vidaa medida densificando transito aumentou mendigos assaltos frequentes apagoesagora sendo construido predio ladoq tirou vista sol tarde maravilhas densificacao,0,0,0,0,1,0,0,1,1,0
42,policia prende acusado cometer assaltos marechal deodoro homem 22 anos acusado cometer varios assaltos cidade marechal deodoro preso nesta tercafeira 28 proximo praca faculdade maceio br104,1,0,0,0,0,0,0,1,1,1
43,policia civil efetua prisao homem 42 anos morador bairro liberdade portao foragido furto qualificado roubo majorado dpportao,0,0,1,0,0,0,0,1,1,1
44,maior esquema roubo terrenos patrocinado pt prefeitura local servia area verde bairro drenagem agua chuvas destas casas feitas passou encher agua casas vizinhas enxurradas enfia erundina toba,0,1,0,0,0,0,0,1,1,0
45,cerca 350 caminhoneiros participaram nesta segunda 15 carreata avenida brasil contra roubo cargas leia materia completa,0,0,0,0,1,0,0,1,1,1
46,dor conceicao rua luiz oliveira 157 bairro conceicao eva assediada especie criacao usando palavras astuta todas alimariase sabido ilustrissimo animal poder hipnotizar presas dar bote,0,0,0,1,0,0,0,1,1,1
47,reporter tv globo sofre tentativa assalto vivo situacao aconteceu avenida paulista sao paulo durante programa encontro saopaulo assalto tvglobo encontro patriciapoeta saiba redetvuolcombrtvfamablo,1,0,0,0,0,0,0,1,1,1
48,outro dia vi verme maconhado roubado idosa rua agredindo pobre mulher aposto petista,0,1,0,0,0,0,0,1,1,0
49,protegendo provaveis furtos muitos celulares sao roubados mesa praca alimentacao minas,0,0,0,0,1,0,0,1,1,0
50,prejuizo furto fiacao praca feiras caxias estimado cerca r 50 mil,0,0,1,0,0,0,0,1,1,1
51,toyota hilux arrombado furtado madrugada deste domingo bairro buritis bh dono carro percebeu levado manha segundo chama atencao alarme carro nao disparou,0,0,1,0,0,0,0,1,1,1
52,ia xingar motivo faco natureza to rua to medo assaltado rio janeiro foda,0,0,0,0,1,0,0,1,1,1
53,reporter juliane massaoka conversando patricia poeta direto avenida paulista logo apos programa falar sobre violencia tentativa assalto menos pareceu ne policia aqui sei globolixo meenganaqueeugosto,1,0,0,0,0,0,0,1,1,1
54,assaltos avenida sete,1,0,0,0,0,0,0,1,1,1
55,nao entendi confronto israel palestina tava ocupado tentando sobreviver ataque cv aqui bairro,0,0,0,0,0,0,0,0,1,0
56,veiculo furtado avenida irio welp bairro universitario marechal rondon,0,0,1,0,0,0,0,1,1,1
57,absurdo placa avenida roberto dinamite idolo cr vasco gama roubada nessa madrugada dia 07 fevereiro nenhum suspeito preso,0,1,0,0,0,0,0,1,1,1
58,invadiram roubaram equipamentos cras vila canaa nesta semana cras nao possui sistema vigilancia guardas cameras comunidade bairro perde fpulcineli jornalopopular jornalopcao diariodamanha tvanhanguerago g1goias recordtvgoias,0,1,0,0,0,0,1,1,1,1
59,facil menor rua linchado poste carteira furtada r 45 bilhoes reais surrupiados orcamento mobilizar indignacao gigante deitado berco esplendido,0,0,1,0,0,0,0,1,1,0
60,blitz nao pegam bandidos moto assaltaram homem ontem noite bairro nova america nova iguacu riodenojeira riodejaneiro novaiguacu,1,0,0,0,0,0,0,1,1,1
61,riodenojeiraofc furtaram carro namorado domingo 16h rua mamore freguesiajacarepagua plena luz dia dia maes puder divulgar correndo atras achar carro ja usa carro pra trabalhar,0,0,1,0,0,0,0,1,1,1
